x,y
93223.698916689071,111139.58459183243
93231.9374700013,111133.91808856398
93182.189473462029,111143.27017737896
93136.797783810805,111158.18352757799
93063.419517070331,111177.7574020757
93065.177113149257,111148.61986079878
93026.291848691573,111153.34518046082
93022.807704254388,111137.89160401108
92870.373143726581,111148.78304606893
92853.854825393835,111142.3701514478
92835.794663940294,111135.70486039747
92834.034854616621,111135.32206308829
92833.332796806979,111135.50525686894
92814.259897625045,111136.97864047297
92795.494598355828,111130.69240153964
92786.501865875383,111130.04661844745
92672.375114172828,111125.51429617901
92669.276034243056,111137.50983319257
92609.379956914214,111176.20287126163
93053.674343478007,110627.60907950948
93066.738457726446,110623.20956159009
93088.354801520298,110614.05591026251
93091.251928664657,110614.73715604743
93103.143074607215,110618.65313175754
93114.432673332354,110621.3270869573
93124.217692470062,110622.69983171536
93133.383396581179,110622.54308958331
93134.338852980436,110637.10796298106
93135.393119438071,110643.60176595589
93139.612049476564,110643.79445781127
93146.19442406758,110643.05116547162
93161.778886520711,110639.69334156257
93175.380942960823,110636.52415744067
93176.843237424895,110636.5951981414
93180.589169241823,110637.46739188312
93184.09532947655,110619.86984712955
93199.019318458129,110609.5562131958
93239.161301015862,110608.38053270687
93243.84007164232,110608.28574200612
93279.829730032056,110608.26257622741
