id,z,x,y
1,380.1010132,3821468.562,36598993.55
2,380.1380005,3821468.916,36599020.02
3,381.1040039,3821469.654,36599046.34
4,380.118988,3821455.064,36598993.76
5,381.2449951,3821455.857,36599020.6
6,381.1099854,3821456.165,36599047.01
7,380.8999939,3821410.697,36598984.16
8,380.8789978,3821411.638,36599013.18
9,380.9509888,3821411.789,36599036.95
10,381.177002,3821412.392,36599066.15
11,380.8680115,3821396.157,36598984.39
12,380.9070129,3821396.404,36599013.66
13,380.8110046,3821396.892,36599037.26
14,380.803009,3821397.496,36599066.45
15,380.8900146,3821400.606,36599089.89
16,380.9240112,3821401.111,36599118.91
17,380.8510132,3821401.471,36599144.07
18,380.7650146,3821385.714,36599090.45
19,380.8250122,3821386.536,36599118.1
20,380.7990112,3821387.9,36599145.81
21,380.3519897,3821341.226,36598969.5
22,380.4320068,3821341.648,36598989.89
23,380.4580078,3821341.653,36599010.3
24,380.4570007,3821342.482,36599030.25
25,380.4249878,3821320.381,36598970.31
26,380.3340149,3821320.553,36598990.33
27,380.394989,3821320.974,36599010.72
28,380.3049927,3821321.402,36599031.43
29,380.427002,3821342.591,36599050.44
30,380.4299927,3821343.207,36599080.23
31,380.526001,3821343.823,36599110.03
32,380.4890137,3821344.438,36599139.82
33,380.5180054,3821344.888,36599167.22
34,380.3210144,3821325.642,36599051.2
35,380.322998,3821325.81,36599080.59
36,380.3940125,3821326.426,36599110.39
37,380.6400146,3821327.04,36599140.18
38,380.4289856,3821327.444,36599159.61
39,381.3559875,3821395.789,36599163.33
40,380.7990112,3821392.303,36599177.48
41,380.8190002,3821366.718,36599156.78
42,380.6669922,3821363.443,36599171.31
43,380.519989,3821482.742,36598990.94
44,380.6152039,3821483.336,36599019.67
45,380.7707825,3821480.878,36599040.32
46,380.6763916,3821472.317,36599065.8
47,380.5254211,3821455.821,36599066.03
48,380.3450012,3821430.93,36598985.25
49,380.4442749,3821431.37,36599012.54
50,380.4152527,3821431.262,36599038.28
51,380.4202881,3821430.741,36599064.76
52,380.6637268,3821425.078,36599087.02
53,380.3402405,3821419.403,36599110.67
54,380.3736267,3821412.144,36599137.29
55,380.697052,3821370.437,36598976.61
56,380.3686829,3821370.235,36599003.48
57,380.6957703,3821370.085,36599039.9
58,380.7574158,3821371.987,36599067.69
59,380.7727661,3821371.736,36599099.24
60,380.3919678,3821371.387,36599120.63
61,380.4063416,3821370.925,36599141.35
