id,z,x,y
6,1361.484985,4531.799805,3018.810059
8,1361.704956,4529.439941,3077.22998
11,1364.64502,4508.879883,3046.889893
13,1364.964966,4506.509766,3104
16,1361.344971,4471.660156,3024.560059
21,1361.694946,4449.890137,3081.929932
24,1362.447021,4383.27002,3015.27002
30,1362.053955,4361.5,3072.629883
57,1363.281982,4296.160156,3012.070068
62,1363.671021,4274.390137,3069.429932
77,1363.228027,4227.819824,2995.939941
79,1363.843018,4227.819824,3057.899902
82,1363.72998,4206.049805,3028.070068
84,1364.357056,4206.049805,3086.459961
67,1364.71106,4285.649902,3186.090088
72,1365.244019,4263.879883,3243.459961
34,1361.805054,4391.870117,3196.709961
4,1364.675049,4547.169922,3106.899902
5,1361.494995,4526.959961,2996.52002
22,1362.834961,4427.120117,2993.030029
47,1362.244995,4327.279785,2989.540039
2,1364.594971,4550.089844,3037.389893
31,1361.838013,4393.75,3103.330078
9,1361.704956,4528.149902,3106
10,1361.505005,4510.060059,3017.679932
18,1361.63501,4471.660156,3082.159912
19,1361.545044,4449.890137,3024.330078
26,1361.973022,4383.27002,3072.870117
28,1361.969971,4361.5,3015.030029
59,1363.410034,4296.160156,3069.669922
60,1363.25,4274.390137,3011.830078
80,1363.987061,4227.819824,3086.699951
81,1363.19104,4206.049805,2995.709961
70,1364.636963,4263.879883,3185.860107
69,1365.124023,4285.649902,3243.689941
36,1365.375,4388.359863,3254.310059
1,1364.60498,4551.370117,3002.310059
14,1362.214966,4493.680176,2995.360107
23,1362.444946,4393.839844,2991.870117
56,1363.594971,4286.569824,2988.379883
33,1361.723022,4392.850098,3163.330078
3,1364.555054,4547.790039,3071.219971
7,1361.38501,4530.620117,3048.02002
12,1364.905029,4507.700195,3076.100098
17,1361.464966,4471.660156,3053.360107
20,1361.584961,4449.890137,3053.129883
15,1362.834961,4460.399902,2994.189941
25,1361.727051,4383.27002,3044.070068
29,1361.85498,4361.5,3043.830078
27,1362.160034,4360.560059,2990.699951
32,1363.331055,4393.009766,3133.330078
35,1365.454956,4389.939941,3225.51001
75,1363.687988,4252.990234,3052.669922
68,1364.918945,4285.649902,3214.889893
71,1364.812012,4263.879883,3214.659912
58,1363.360962,4296.160156,3040.870117
61,1363.5,4274.390137,3040.629883
73,1363.628052,4251.859863,2987.209961
78,1363.536011,4227.819824,3028.310059
83,1364.012939,4206.049805,3057.659912
85,1363.814941,4242.319824,3214.389893
87,1364.542969,4220.549805,3214.149902
86,1363.718018,4242.319824,3243.189941
88,1364.275024,4220.549805,3242.949951
43,1364.891968,4341.839844,3163.550049
45,1365.025024,4339.47998,3221.969971
53,1364.844971,4318.919922,3191.629883
55,1364.822998,4316.549805,3248.75
46,1364.697998,4338.180176,3250.75
52,1361.852051,4320.100098,3162.419922
44,1364.891968,4340.660156,3192.76001
54,1365.060059,4317.740234,3220.840088
38,1361.848022,4362.109863,3131.830078
41,1361.77002,4359.700195,3224.850098
40,1361.659058,4360.680176,3191.47998
39,1361.671021,4360.839844,3161.47998
42,1365.067993,4357.77002,3253.649902
37,1361.873047,4361.910156,3101.23999
50,1361.547974,4325.379883,3089.570068
49,1361.626953,4326.359863,3056.189941
48,1362.993042,4326.72998,3023.090088
51,1361.741943,4323.660156,3122.800049
74,1363.546021,4252.779785,3024.050049
76,1363.887939,4254.919922,3086.02002
63,1363.849976,4282.97998,3119.669922
65,1363.704956,4261.209961,3119.429932
64,1364.343994,4282.97998,3148.469971
66,1363.927002,4261.209961,3148.22998
