id,z,x,y
6,1361.484985,4531.799805,3018.810059
8,1361.704956,4529.439941,3077.22998
11,1364.64502,4508.879883,3046.889893
13,1364.964966,4506.509766,3104
16,1361.344971,4471.660156,3024.560059
21,1361.694946,4449.890137,3081.929932
24,1362.447021,4383.27002,3015.27002
30,1362.053955,4361.5,3072.629883
57,1363.281982,4296.160156,3012.070068
62,1363.671021,4274.390137,3069.429932
77,1363.228027,4227.819824,2995.939941
79,1363.843018,4227.819824,3057.899902
82,1363.72998,4206.049805,3028.070068
84,1364.357056,4206.049805,3086.459961
67,1364.71106,4285.649902,3186.090088
72,1365.244019,4263.879883,3243.459961
34,1361.805054,4391.870117,3196.709961
4,1364.675049,4547.169922,3106.899902
5,1361.494995,4526.959961,2996.52002
22,1362.834961,4427.120117,2993.030029
47,1362.244995,4327.279785,2989.540039
2,1364.594971,4550.089844,3037.389893
31,1361.838013,4393.75,3103.330078
9,1361.704956,4528.149902,3106
10,1361.505005,4510.060059,3017.679932
18,1361.63501,4471.660156,3082.159912
19,1361.545044,4449.890137,3024.330078
26,1361.973022,4383.27002,3072.870117
28,1361.969971,4361.5,3015.030029
59,1363.410034,4296.160156,3069.669922
60,1363.25,4274.390137,3011.830078
80,1363.987061,4227.819824,3086.699951
81,1363.19104,4206.049805,2995.709961
70,1364.636963,4263.879883,3185.860107
69,1365.124023,4285.649902,3243.689941
36,1365.375,4388.359863,3254.310059
1,1364.60498,4551.370117,3002.310059
14,1362.214966,4493.680176,2995.360107
23,1362.444946,4393.839844,2991.870117
56,1363.594971,4286.569824,2988.379883
33,1361.723022,4392.850098,3163.330078
3,1364.555054,4547.790039,3071.219971
7,1361.38501,4530.620117,3048.02002
12,1364.905029,4507.700195,3076.100098
17,1361.464966,4471.660156,3053.360107
