id,z,x,y
H01,497.1369934,93424.17969,110609.7734
H02,497.3649902,93423.08594,110636.1016
H03,497.7569885,93422.50781,110658.9609
H04,497.2569885,93409.30469,110609.4922
H05,497.6820068,93409.08594,110636.2188
H06,498.0029907,93407.35938,110658.5625
H07,497.4190063,93385.75781,110608.7109
H08,497.9179993,93385.46875,110635.5313
H09,498.45401,93384.92969,110657.7422
H10,497.4200134,93371.21875,110609.0078
H11,498.1960144,93370.67969,110635.3359
H12,498.5,93370.30469,110657.5859
I01,498.5580139,93422.1875,110698.0469
I02,498.8569946,93420.79688,110724.2813
I03,499.2099915,93421.21875,110747.4375
I04,498.6560059,93407.34375,110697.7031
I05,499.0329895,93406.21875,110723.9844
I06,499.4819946,93405.97656,110746.875
I07,498.9159851,93384.49219,110697.2031
I08,499.3179932,93383.54688,110723.5469
I09,499.7940063,93383.20313,110746.4375
I10,499.2810059,93369.39844,110696.8203
I11,499.7420044,93368.76563,110723.1875
I12,500.1300049,93368.11719,110745.875
J01,501.1239929,93418.10156,110875.0313
J02,501.4309998,93417.02344,110901.4688
J03,501.6820068,93416.9375,110924.3047
J04,501.3590088,93403.05469,110875.1172
J05,501.4729919,93402.01563,110900.7734
J06,501.82901,93402.21875,110923.9766
J07,501.7229919,93379.53125,110874.4609
J08,501.8930054,93379.80469,110900.3047
J09,502.131012,93379.25,110923.4609
J10,501.8190002,93363.40625,110874.2891
J11,502.177002,93364.44531,110900.25
J12,502.2940063,93364.10938,110922.9922
K01,499.3410034,93334.75781,110693.6953
K02,499.5759888,93334.125,110720.0078
K03,500.0950012,93333.35938,110742.7344
K04,499.3429871,93320.07031,110693.4531
K05,499.4779968,93319.65625,110720
K06,500.2030029,93318.78125,110742.5156
K07,498.9689941,93297.86719,110696.7188
K08,499.8699951,93296.92969,110722.8516
K09,500.5849915,93296.21094,110745.4141
K10,499.2080078,93282.01563,110696.8516
K11,500.0700073,93282.05469,110722.0938
K12,500.6390076,93281.72656,110745.375
K13,499.4519958,93260.39063,110695.6797
K14,500.1740112,93259.83594,110721.875
K15,500.5740051,93259.28125,110744.7813
K16,499.5950012,93245.64844,110695.5
K17,500.1369934,93245.22656,110721.6641
K18,500.6159973,93244.65625,110744.6406
L01,495.3330078,93177.13281,110608.0859
L02,495.6910095,93176.89063,110634.3828
L03,498.8999939,93176.39844,110657.3594
L04,494.427002,93162.40625,110607.7656
L05,495.0289917,93161.97656,110634.0234
L06,498.9049988,93161.1875,110656.6563
L07,494.2609863,93140.35156,110610.7266
L08,494.7680054,93139.83594,110637.2813
L09,499.0239868,93139.0625,110659.7813
L10,494.0369873,93123.51563,110609.5078
L11,498.1000061,93124.96875,110636.8125
L12,499.0379944,93124.4375,110659.1875
L13,494.7640076,93103.1875,110609.8672
L14,498.4590149,93103.05469,110636.1328
L15,498.7409973,93101.92188,110659.4375
L16,495.3989868,93088.36719,110609.5078
L17,498.8099976,93088.29688,110635.3203
L18,499.0820007,93087.3125,110658.7578
M01,499.5379944,93175.71875,110690.5469
M02,500.0159912,93174.71875,110716.9609
M03,500.6789856,93174.78906,110739.5469
M04,499.3859863,93160.67969,110690.4375
M05,500.0159912,93160.25781,110716.5391
M06,500.6440125,93159.64844,110739.3359
M07,499.7529907,93138.21875,110693.6406
M08,500.29599,93138.08594,110719.5547
M09,500.8059998,93137.09375,110742.4063
M10,499.8259888,93124.21875,110692.6094
M11,500.1950073,93123.32813,110719.0625
M12,500.7950134,93122.52344,110742.0156
M13,499.5740051,93101.875,110692.0781
M14,500.1359863,93101.46875,110718.4375
M15,500.6369934,93101.04688,110741.3281
M16,499.8500061,93087.3125,110691.5234
M17,500.3789978,93086.5625,110718.4609
M18,500.6650085,93086.03125,110741.1172
N01,501.4519958,93193.42188,110771.2344
N02,501.6220093,93213.19531,110789.2344
N03,501.7820129,93230.85156,110804.2344
N04,501.6820068,93183.32813,110782.1484
N05,501.8729858,93203.61719,110799.8516
N06,502.1380005,93220.39844,110814.7188
O01,502.3259888,93254.96094,110826.9844
O02,502.375,93269.64844,110848.7813
O03,502.5610046,93282.27344,110867.3906
O04,502.3479919,93242.72656,110834.7656
O05,502.2099915,93257.70313,110856.6406
O06,502.7170105,93270.50781,110875.2813
P01,502.8930054,93301.67188,110901.7109
P02,503.2999878,93312.36719,110926.1875
P03,503.0159912,93320.75,110946.6328
P04,502.8349915,93288.5625,110907.8438
P05,503.197998,93298.96875,110932.1484
P06,503.1099854,93307.64844,110952.7969
Q01,502.7869873,93326.64844,110973.1953
Q02,501.8919983,93329.61719,110999.5156
Q03,500.7999878,93332.10156,111022.1484
Q04,502.993988,93312.38281,110975.2969
Q05,502.0090027,93314.96094,111000.9844
Q06,501.0849915,93317.59375,111023.9297
R01,497.9060059,93261.5625,110613.7578
R02,498.5539856,93260.51563,110663.0156
R03,497.8959961,93284.51563,110614.7266
R04,498.6229858,93283.60938,110649.8125
R05,498.2839966,93316.54688,110635.8672
R06,497.6480103,93348.92188,110615.6875
R07,498.401001,93347.02344,110655.0781
S01,501.5799866,93415.47656,110945.7109
S02,501.4869995,93415.05469,110972.7813
S03,500.9899902,93416.5,110996.1016
S04,499.651001,93415.60156,111023.7891
S05,501.79599,93401.64844,110945.3516
S06,501.6960144,93400.86719,110972.5469
S07,499.8009949,93401.22656,111023.5391
S08,501.3850098,93395.72656,110991.1484
S09,500.5960083,93383.89844,111013.5625
S10,501.9769897,93372.8125,110973.8672
S11,501.4670105,93371.625,110994.6641
S12,500.0639954,93371.70313,111023.3047
S13,502.2250061,93358.00781,110973.3906
S14,501.3370056,93357.58594,111003.0938
S15,500.105011,93357.03125,111025.3984
TJG,503.9500122,93009.45313,110837.7031
TJ1,500,92439.49219,111071.6016
TJA,500.0599976,92830.75,111079.5234
TJB,489.6600037,92886.46094,111342.5
TJF,503.7799988,93193.88281,110913.8281
