id,z,x,y
A01,500.1749878,92787.5,111088
A02,497.0169983,92786.8125,111118.7031
A03,494.0499878,92785.90625,111151.7969
A04,492.6600037,92806.21875,111184
A05,492.3580017,92833.25,111192.7031
A06,493.4410095,92837.25,111168.1016
A07,494.2349854,92810.5625,111151.5
A08,498.0390015,92818.53125,111120.2031
A09,499.9989929,92820.17969,111088.7031
A10,500.0559998,92836.27344,111080.7969
A11,499.2109985,92834.96875,111104.8984
A12,495.9070129,92834.00781,111136.2031
A13,497.4190063,92863.0625,111128.1016
A14,500.6499939,92862.97656,111096.3984
A15,493.8200073,92794.50781,111173.4297
B01,489.9700012,92863.10156,111242.6172
B02,489.7399902,92863.09375,111272.75
B03,489.8099976,92862.8125,111301.8125
B04,490.0299988,92862.9375,111332.3203
B05,489.6340027,92877.40625,111244.6016
B06,489.4859924,92876.27344,111272.7969
B07,489.4809875,92874.14844,111300.7969
B08,489.8309937,92872.82813,111334
B09,489.4460144,92895.35156,111257.1016
B10,489.4809875,92893.97656,111281.3984
B11,489.4259949,92894.53125,111312.1016
B12,489.6619873,92890.5625,111340.6016
B13,489.519989,92903.75781,111243.2266
B14,489.5400085,92910.65625,111271.8672
B16,489.4500122,92907.5625,111300.9531
B17,489.5499878,92907.46875,111328.4766
B18,489.6000061,92884.72656,111300.4297
C01,499.7099915,92933.22656,110707.7891
C02,500.3999939,92933.28125,110723.2031
C03,498.4500122,92912.25,110701.3984
C04,500.9200134,92912.3125,110728.3125
C05,500.519989,92897.72656,110714.5391
T01,498.019989,93234.25781,110662.0234
T02,498.2900085,93208,110660.3281
D01,505.7179871,92825.07813,110854.2969
D02,505.821991,92831.42188,110861.1016
D03,505.8760071,92814.79688,110862.2969
D04,506.0740051,92816.65625,110880.8984
D05,506.0669861,92826.39063,110878.5
D06,506.1830139,92835.71094,110894.1016
D07,505.2449951,92853.07031,110887.7031
D08,505.5809937,92841.39844,110870.1016
D09,505.1759949,92869.07031,110900.5
D10,505.5660095,92886.34375,110920.7031
D11,505.5809937,92899.40625,110927.2031
D12,504.8970032,92852.24219,110861.3984
D13,505.0509949,92870.78906,110882.6016
D14,505.3299866,92886.70313,110901.2031
D15,504.4890137,92879.35156,110847
D16,504.8729858,92880.75781,110862.7969
D17,505.1229858,92916.03125,110906.2031
D18,504.2749939,92895.74219,110833.3984
D19,504.7449951,92905.46094,110859.6016
D20,504.8139954,92917.85938,110883.8984
D21,505.0979919,92930.78125,110904.7969
D22,504.0769958,92908.14063,110828.6016
D23,504.1929932,92918.78125,110854.5
D24,504.3250122,92928.0625,110869.2969
D25,504.9060059,92953.03906,110891.2031
E01,502.9400024,93105.96875,110832.2969
E02,503.3089905,93097.46094,110846.7031
E03,503.75,93081.96875,110875.7031
E04,504.7730103,93069.77344,110904.6016
E05,502.9249878,93120.46875,110842.7969
E06,503.5069885,93110.89063,110861
E07,504.0969849,93098.71094,110884.3984
E08,504.3859863,93087.5,110906.5
E09,503.0220032,93127.20313,110848.3984
E10,503.446991,93122.17969,110873.1016
E11,503.2269897,93142.78906,110859.7969
E12,503.2019958,93155.1875,110865.3984
E13,503.5039978,93141.36719,110876.7969
E14,503.881012,93127.78906,110894.7031
E15,504.5499878,93108.75781,110920.2031
E16,503.4429932,93168.67969,110876
E17,503.5849915,93156.39063,110888
E18,503.9049988,93141.63281,110906.5
E19,504.1579895,93112.47656,110934.5
E20,504.1340027,93129.71875,110932.8984
E23,504.6000061,93056.5,110889.7969
F01,503.7820129,93198.85156,110913.8984
F02,503.9309998,93183.14844,110924.5
F03,504.1600037,93150.14844,110944.6016
F04,504.0849915,93137.42969,110965.2344
F05,503.6019897,93211.46094,110933.3984
F06,503.8569946,93193.39063,110942.6016
F07,503.605011,93221.46875,110955.2031
F08,503.8670044,93202.39063,110964
F09,504.1260071,93167.51563,110972.4063
F10,504.0920105,93146.33594,110986.6953
F11,503.4840088,93232.5625,110983.8984
F12,503.6870117,93202.05469,110984.0781
F13,503.7569885,93175.28125,110992.0234
F14,502.9030151,93236.47656,111006.6016
F15,503.2109985,93207.28125,111005.2578
F16,503.3059998,93177.53906,111016.2969
F17,503.3880005,93158.53906,111017.7969
F18,502.7940063,93227.6875,111019
G01,503.0650024,92967,110802.7969
G02,503.9429932,92970.25781,110839.3984
G03,504.7999878,92969.67188,110873.3984
G04,502.3299866,92983.86719,110778.5
G05,503.1090088,92988.75,110804.8984
G06,503.8959961,92988.34375,110832.1016
G07,504.42099,92988,110855.8984
G08,505.1929932,92981.03906,110891.2969
G09,502.4129944,93012.47656,110787.6016
G10,503.2999878,93012.47656,110811.5
G11,504.5010071,93006.64844,110862.7031
G12,505.0379944,93005.4375,110890
G13,501.9899902,93033.32031,110780.6016
G14,502,93031.29688,110804.8984
G15,503.394989,93031.32031,110832.2969
G16,504.5360107,93029.67188,110857
G17,505.3340149,93029.25,110890.8984
G18,501.8999939,93046.32813,110780.8984
G19,502,93047,110805.2969
G20,503.2529907,93047.15625,110832
G21,504.6210022,93045.28906,110855.8984
G22,504.7929993,93042.10156,110873.7969
G31,504.7000122,93043.32813,110866.1406
G32,505.0299988,93036.71094,110880.9766
G33,504.7999878,93039.17188,110877.7031
